FL_DATE;CANCELLED;FLIGHTS;DISTANCE
2018-03-07;2549;17375;782.3815252
2018-03-08;500;19917;793.6748506
2018-03-09;54;20555;797.1197276
2018-03-10;17;17163;844.8509585
2018-03-11;45;19840;812.6525706
2018-03-12;312;20293;796.5561031
2018-03-13;1548;18613;794.4708537
2018-03-14;258;20119;795.2950942
2018-03-15;85;20603;799.3410668
2018-03-16;69;20625;799.8276848
2018-03-17;45;17215;847.7780424
2018-03-18;62;19875;813.4992201
2018-03-19;107;20501;796.8609336
2018-03-20;924;19248;795.9479426
2018-03-21;4090;16285;790.7279091
2018-03-22;735;19956;800.1485268
2018-03-23;77;20629;799.2002521
2018-03-24;80;17151;846.9697977
2018-03-25;41;19890;813.620362
2018-03-26;34;20584;797.2501943
2018-03-27;408;19759;792.9424566
2018-03-28;233;20124;796.5355297
2018-03-29;85;20543;798.9829626
2018-03-30;47;20577;799.2806532
2018-03-31;33;16945;849.2794335
2018-04-01;61;19470;816.8376477
2018-04-02;397;20122;802.8439519
2018-04-03;247;19761;790.2692171
2018-04-04;611;19615;795.7618149
2018-04-05;71;20516;793.3835543
2018-04-06;320;20292;796.9165681
2018-04-07;76;16844;839.8235573
2018-04-08;26;19833;803.6602632
2018-04-09;49;20677;790.7497703
2018-04-10;130;19873;780.2256328
2018-04-11;20;20302;784.3780416
2018-04-12;52;20741;792.3419797
2018-04-13;196;20649;795.6128626
2018-04-14;726;15738;838.2345279
2018-04-15;905;18956;812.9604874
2018-04-16;864;19941;800.5450078
2018-04-17;216;19718;780.7723907
2018-04-18;127;20129;785.0537533
2018-04-19;82;20718;792.6021334
2018-04-20;63;20783;792.4572487
2018-04-21;93;16415;834.1975632
2018-04-22;67;19877;803.7950395
2018-04-23;144;20638;792.1969668
2018-04-24;115;19784;779.8802062
2018-04-25;308;19850;786.9250378
2018-04-26;70;20675;792.281838
2018-04-27;78;20735;793.1912226
2018-04-28;41;16508;832.3789072
2018-04-29;48;19928;802.422772
2018-04-30;48;20707;791.8695127
2018-05-01;63;19863;781.4069879
2018-05-02;349;19822;786.2619312
2018-05-03;567;20180;798.8198216
2018-05-04;121;20696;794.7091225
2018-05-05;41;16567;833.1691918
2018-05-06;65;20024;804.0906912
2018-05-07;87;20788;795.3218203
2018-05-08;81;20049;785.3559779
2018-05-09;182;20166;789.6379054
2018-05-10;298;20558;797.6754548
2018-05-11;119;20798;795.8414751
2018-05-12;55;16349;835.3358004
2018-05-13;175;19429;807.5371867
2018-05-14;688;20206;802.9599129
2018-05-15;1213;18958;793.9612301
2018-05-16;571;19881;791.6490116
